location_id,sku_id,time_period,actual_demand,forecast_demand,forecasting_error,lower_cf,upper_cf,forecasting_method
DC1,38340M844A0,2010-04-01,14492.0,17096,6921.856495739811,3617.939424724451,31305.365407683697,Sarima
DC1,38340M844A0,2010-05-01,30760.0,15264,6921.856495739811,1786.0784324871565,29473.5044154464,Sarima
DC1,38340M844A0,2010-06-01,44461.0,29541,6921.856495739811,16063.54143459043,43750.96741754968,Sarima
DC1,38340M844A0,2010-07-01,33386.0,36987,6921.856495739811,23509.016808113396,51196.442791072644,Sarima
DC1,38340M844A0,2010-08-01,18238.0,24578,6921.856495739811,11100.403957485198,38787.82994044444,Sarima
DC1,38340M844A0,2010-09-01,13148.0,15483,6921.856495739811,2004.988898814092,29692.414881773337,Sarima
DC1,38340M844A0,2010-10-01,9458.0,14156,6921.856495739811,678.3905171133483,28365.816500072593,Sarima
DC1,38340M844A0,2010-11-01,10948.0,11345,6921.856495739811,0.0,25554.891817210988,Sarima
DC1,38340M844A0,2010-12-01,11608.0,13655,6921.856495739811,177.5365474724622,27864.96253043171,Sarima
DC1,38340M844A0,2011-01-01,10300.0,13430,6921.856495739811,0.0,27639.93813428899,Sarima
DC1,38340M844A0,2011-02-01,11416.0,12348,6921.856495739811,0.0,26557.448852023736,Sarima
DC1,38340M844A0,2011-03-01,11360.0,13719,6921.856495739811,241.1052921745577,27928.531275133802,Sarima
DC1,38340M844A0,2011-04-01,12224.0,13188,6921.856495739811,0.0,27397.395119352193,Sarima
DC1,38340M844A0,2011-05-01,24742.0,14141,6921.856495739811,663.687894660261,28351.113877619508,Sarima
DC1,38340M844A0,2011-06-01,28310.0,24922,6921.856495739811,11444.756960930963,39132.182943890206,Sarima
DC1,38340M844A0,2011-07-01,25594.0,24305,6921.856495739811,10827.725736073762,38515.151719033005,Sarima
DC1,38340M844A0,2011-08-01,18394.0,22110,6921.856495739811,8632.57772774367,36320.00371070291,Sarima
DC1,38340M844A0,2011-09-01,27864.0,16487,6921.856495739811,3009.7567900756967,30697.18277303494,Sarima
DC1,38340M844A0,2011-10-01,20864.0,26871,6921.856495739811,13393.339330861605,41080.76531382085,Sarima
DC1,38340M844A0,2011-11-01,5890.0,17009,6921.856495739811,3531.529545407482,31218.95552836673,Sarima
DC1,38340M844A0,2011-12-01,7588.0,7175,6921.856495739811,0.0,21384.737556947468,Sarima
DC1,38340M844A0,2012-01-01,6542.0,12136,6921.856495739811,0.0,26345.501830569425,Sarima
DC1,38340M844A0,2012-02-01,7784.0,9465,6921.856495739811,0.0,23674.856420742923,Sarima
DC1,38340M844A0,2012-03-01,7662.0,11506,6921.856495739811,0.0,25715.45268245644,Sarima
DC1,38340M844A0,2012-04-01,10560.0,10681,6921.856495739811,0.0,24890.63205906096,Sarima
DC1,38340M844A0,2012-05-01,21794.0,13544,6921.856495739811,66.22598908436339,27753.651972043608,Sarima
DC1,38340M844A0,2012-06-01,37286.0,22514,6921.856495739811,9036.722776242133,36724.14875920138,Sarima
DC1,38340M844A0,2012-07-01,22990.0,33122,6921.856495739811,19643.876567182422,47331.30255014167,Sarima
DC1,38340M844A0,2012-08-01,20504.0,16702,6921.856495739811,3224.7482491118662,30912.174232071113,Sarima
DC1,38340M844A0,2012-09-01,14732.0,20260,6921.856495739811,6782.201549176991,34469.627532136234,Sarima
DC1,38340M844A0,2012-10-01,10548.0,13885,6921.856495739811,407.6111253426716,28095.037108301916,Sarima
DC1,38340M844A0,2012-11-01,10038.0,12408,6921.856495739811,0.0,26617.87953664537,Sarima
DC1,38340M844A0,2012-12-01,12010.0,12474,6921.856495739811,0.0,26683.654563033575,Sarima
DC1,38340M844A0,2013-01-01,10224.0,14202,6921.856495739811,724.2621570016254,28411.68813996087,Sarima
DC1,38340M844A0,2013-02-01,8702.0,12009,6921.856495739811,0.0,26218.98771091856,Sarima
DC1,38340M844A0,2013-03-01,9198.0,11428,6921.856495739811,0.0,25637.348966997542,Sarima
DC1,38340M844A0,2013-04-01,13576.0,12072,6921.856495739811,0.0,26282.017423242633,Sarima
DC1,38340M844A0,2013-05-01,25612.0,15734,6921.856495739811,2255.8850231276992,29943.311006086944,Sarima
DC1,38340M844A0,2013-06-01,30488.0,25136,6921.856495739811,11658.268334112914,39345.69431707216,Sarima
DC1,38340M844A0,2013-07-01,35034.0,26164,6921.856495739811,12686.8139689107,40374.239951869946,Sarima
DC1,38340M844A0,2013-08-01,,29840,6921.856495739811,16362.505636652122,44049.931619611365,Sarima
DC1,38340M844A0,2013-09-01,,13972,6921.856495739811,494.56991616610503,28181.99589912535,Sarima
DC1,38340M844A0,2013-10-01,,19723,6921.856495739811,6245.424301815403,33932.85028477465,Sarima
DC1,38340M844A0,2013-11-01,,14083,6921.856495739811,604.9619312382347,28292.38791419748,Sarima
DC1,38340M844A0,2013-12-01,,14443,6921.856495739811,965.7112549732938,28653.13723793254,Sarima
DC1,38340M844A0,2014-01-01,,14848,6921.856495739811,1370.0681915152072,29057.49417447445,Sarima
DC1,38340M844A0,2014-02-01,,15082,6921.856495739811,1604.6025036834508,29292.028486642695,Sarima
DC1,38340M844A0,2014-03-01,,12107,6921.856495739811,0.0,26316.588705810245,Sarima
DC1,38340M844A0,2014-04-01,,31510,6921.856495739811,18032.316292526797,45719.74227548604,Sarima
DC1,38340M844A0,2014-05-01,,24834,6921.856495739811,11356.737110776767,39044.16309373601,Sarima
DC1,38340M844A0,2014-06-01,,21250,6921.856495739811,7772.74890243582,35460.17488539506,Sarima
DC1,38340M844A0,2014-07-01,,19326,6921.856495739811,5848.575564391524,33536.00154735077,Sarima
DC1,38340M844A0,2014-08-01,,18293,6921.856495739811,4815.524443792436,32502.950426751682,Sarima
DC1,38340M844A0,2014-09-01,,17739,6921.856495739811,4260.899454104287,31948.325437063533,Sarima
DC1,38340M844A0,2014-10-01,,17441,6921.856495739811,3963.132119020045,31650.558101979288,Sarima
DC1,38340M844A0,2014-11-01,,17281,6921.856495739811,3803.2666468691696,31490.692629828416,Sarima
DC1,38340M844A0,2014-12-01,,17195,6921.856495739811,3717.4379941769857,31404.86397713623,Sarima
DC1,38340M844A0,2015-01-01,,17149,6921.856495739811,3671.358265240875,31358.78424820012,Sarima
DC1,38340M844A0,2015-02-01,,17124,6921.856495739811,3646.618957885783,31334.04494084503,Sarima
DC1,38340M844A0,2015-03-01,,17111,6921.856495739811,3633.3369064818307,31320.762889441074,Sarima
