location_id,location_name,sku_id,sku_name,time_period,demand,uom,type,part_type
DC1,A,38340M844A0,S1,04-01-2006,14492,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,05-01-2006,30760,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,06-01-2006,44461,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,07-01-2006,33386,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,08-01-2006,18238,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,09-01-2006,13148,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,10-01-2006,9458,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,11-01-2006,10948,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,12-01-2006,11608,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,01-01-2007,10300,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,02-01-2007,11416,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,03-01-2007,11360,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,04-01-2007,12224,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,05-01-2007,24742,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,06-01-2007,28310,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,07-01-2007,25594,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,08-01-2007,18394,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,09-01-2007,27864,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,10-01-2007,20864,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,11-01-2007,5890,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,12-01-2007,7588,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,01-01-2008,6542,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,02-01-2008,7784,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,03-01-2008,7662,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,04-01-2008,10560,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,05-01-2008,21794,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,06-01-2008,37286,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,07-01-2008,22990,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,08-01-2008,20504,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,09-01-2008,14732,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,10-01-2008,10548,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,11-01-2008,10038,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,12-01-2008,12010,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,01-01-2009,10224,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,02-01-2009,8702,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,03-01-2009,9198,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,04-01-2009,13576,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,05-01-2009,25612,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,06-01-2009,30488,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,07-01-2009,35034,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,08-01-2009,18618,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,09-01-2009,18820,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,10-01-2009,14742,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,11-01-2009,12918,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,12-01-2009,13516,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,01-01-2010,13940,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,02-01-2010,10682,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,03-01-2010,31356,units,Seasonal,Wiper
DC1,A,16510-82703,S2,04-01-2006,111856,units,Trend,Oil Filter
DC1,A,16510-82703,S2,05-01-2006,132386,units,Trend,Oil Filter
DC1,A,16510-82703,S2,06-01-2006,117362,units,Trend,Oil Filter
DC1,A,16510-82703,S2,07-01-2006,104682,units,Trend,Oil Filter
DC1,A,16510-82703,S2,08-01-2006,118630,units,Trend,Oil Filter
DC1,A,16510-82703,S2,09-01-2006,111460,units,Trend,Oil Filter
DC1,A,16510-82703,S2,10-01-2006,118401,units,Trend,Oil Filter
DC1,A,16510-82703,S2,11-01-2006,145655,units,Trend,Oil Filter
DC1,A,16510-82703,S2,12-01-2006,144086,units,Trend,Oil Filter
DC1,A,16510-82703,S2,01-01-2007,133123,units,Trend,Oil Filter
DC1,A,16510-82703,S2,02-01-2007,145901,units,Trend,Oil Filter
DC1,A,16510-82703,S2,03-01-2007,137697,units,Trend,Oil Filter
DC1,A,16510-82703,S2,04-01-2007,144632,units,Trend,Oil Filter
DC1,A,16510-82703,S2,05-01-2007,154926,units,Trend,Oil Filter
DC1,A,16510-82703,S2,06-01-2007,139241,units,Trend,Oil Filter
DC1,A,16510-82703,S2,07-01-2007,128794,units,Trend,Oil Filter
DC1,A,16510-82703,S2,08-01-2007,138851,units,Trend,Oil Filter
DC1,A,16510-82703,S2,09-01-2007,149285,units,Trend,Oil Filter
DC1,A,16510-82703,S2,10-01-2007,151235,units,Trend,Oil Filter
DC1,A,16510-82703,S2,11-01-2007,164100,units,Trend,Oil Filter
DC1,A,16510-82703,S2,12-01-2007,168171,units,Trend,Oil Filter
DC1,A,16510-82703,S2,01-01-2008,165315,units,Trend,Oil Filter
DC1,A,16510-82703,S2,02-01-2008,163948,units,Trend,Oil Filter
DC1,A,16510-82703,S2,03-01-2008,147121,units,Trend,Oil Filter
DC1,A,16510-82703,S2,04-01-2008,159817,units,Trend,Oil Filter
DC1,A,16510-82703,S2,05-01-2008,187973,units,Trend,Oil Filter
DC1,A,16510-82703,S2,06-01-2008,161746,units,Trend,Oil Filter
DC1,A,16510-82703,S2,07-01-2008,164538,units,Trend,Oil Filter
DC1,A,16510-82703,S2,08-01-2008,154029,units,Trend,Oil Filter
DC1,A,16510-82703,S2,09-01-2008,172397,units,Trend,Oil Filter
DC1,A,16510-82703,S2,10-01-2008,158629,units,Trend,Oil Filter
DC1,A,16510-82703,S2,11-01-2008,176191,units,Trend,Oil Filter
DC1,A,16510-82703,S2,12-01-2008,178790,units,Trend,Oil Filter
DC1,A,16510-82703,S2,01-01-2009,172141,units,Trend,Oil Filter
DC1,A,16510-82703,S2,02-01-2009,162720,units,Trend,Oil Filter
DC1,A,16510-82703,S2,03-01-2009,167341,units,Trend,Oil Filter
DC1,A,16510-82703,S2,04-01-2009,190772,units,Trend,Oil Filter
DC1,A,16510-82703,S2,05-01-2009,195634,units,Trend,Oil Filter
DC1,A,16510-82703,S2,06-01-2009,200410,units,Trend,Oil Filter
DC1,A,16510-82703,S2,07-01-2009,176452,units,Trend,Oil Filter
DC1,A,16510-82703,S2,08-01-2009,174689,units,Trend,Oil Filter
DC1,A,16510-82703,S2,09-01-2009,187981,units,Trend,Oil Filter
DC1,A,16510-82703,S2,10-01-2009,184502,units,Trend,Oil Filter
DC1,A,16510-82703,S2,11-01-2009,196833,units,Trend,Oil Filter
DC1,A,16510-82703,S2,12-01-2009,223973,units,Trend,Oil Filter
DC1,A,16510-82703,S2,01-01-2010,187577,units,Trend,Oil Filter
DC1,A,16510-82703,S2,02-01-2010,190764,units,Trend,Oil Filter
DC1,A,16510-82703,S2,03-01-2010,199759,units,Trend,Oil Filter
DC1,A,35120M70F30,S3,04-01-2006,35,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,05-01-2006,26,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,06-01-2006,37,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,07-01-2006,38,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,08-01-2006,11,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,09-01-2006,10,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,10-01-2006,12,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,11-01-2006,16,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,12-01-2006,8,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,01-01-2007,1,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,02-01-2007,18,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,03-01-2007,4,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,04-01-2007,19,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,05-01-2007,17,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,07-01-2007,11,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,08-01-2007,17,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,09-01-2007,7,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,10-01-2007,38,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,11-01-2007,15,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,12-01-2007,23,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,01-01-2008,14,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,02-01-2008,20,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,03-01-2008,6,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,04-01-2008,23,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,05-01-2008,5,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,06-01-2008,18,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,07-01-2008,7,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,08-01-2008,18,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,09-01-2008,10,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,10-01-2008,16,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,11-01-2008,20,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,12-01-2008,14,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,01-01-2009,28,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,02-01-2009,5,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,03-01-2009,6,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,04-01-2009,22,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,05-01-2009,15,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,07-01-2009,22,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,09-01-2009,14,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,11-01-2009,2,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,12-01-2009,5,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,01-01-2010,26,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,02-01-2010,17,units,"Low Volume, Erratic",valve
DC1,A,35120M70F30,S3,03-01-2010,7,units,"Low Volume, Erratic",valve
DC1,A,57300M74F00,S4,04-01-2006,590,units,Trend,Body part
DC1,A,57300M74F00,S4,05-01-2006,607,units,Trend,Body part
DC1,A,57300M74F00,S4,06-01-2006,566,units,Trend,Body part
DC1,A,57300M74F00,S4,07-01-2006,526,units,Trend,Body part
DC1,A,57300M74F00,S4,08-01-2006,581,units,Trend,Body part
DC1,A,57300M74F00,S4,09-01-2006,489,units,Trend,Body part
DC1,A,57300M74F00,S4,10-01-2006,525,units,Trend,Body part
DC1,A,57300M74F00,S4,11-01-2006,513,units,Trend,Body part
DC1,A,57300M74F00,S4,12-01-2006,493,units,Trend,Body part
DC1,A,57300M74F00,S4,01-01-2007,538,units,Trend,Body part
DC1,A,57300M74F00,S4,02-01-2007,499,units,Trend,Body part
DC1,A,57300M74F00,S4,03-01-2007,430,units,Trend,Body part
DC1,A,57300M74F00,S4,04-01-2007,448,units,Trend,Body part
DC1,A,57300M74F00,S4,05-01-2007,541,units,Trend,Body part
DC1,A,57300M74F00,S4,06-01-2007,506,units,Trend,Body part
DC1,A,57300M74F00,S4,07-01-2007,457,units,Trend,Body part
DC1,A,57300M74F00,S4,08-01-2007,381,units,Trend,Body part
DC1,A,57300M74F00,S4,09-01-2007,398,units,Trend,Body part
DC1,A,57300M74F00,S4,10-01-2007,428,units,Trend,Body part
DC1,A,57300M74F00,S4,11-01-2007,421,units,Trend,Body part
DC1,A,57300M74F00,S4,12-01-2007,434,units,Trend,Body part
DC1,A,57300M74F00,S4,01-01-2008,484,units,Trend,Body part
DC1,A,57300M74F00,S4,02-01-2008,360,units,Trend,Body part
DC1,A,57300M74F00,S4,03-01-2008,333,units,Trend,Body part
DC1,A,57300M74F00,S4,04-01-2008,359,units,Trend,Body part
DC1,A,57300M74F00,S4,05-01-2008,436,units,Trend,Body part
DC1,A,57300M74F00,S4,06-01-2008,405,units,Trend,Body part
DC1,A,57300M74F00,S4,07-01-2008,345,units,Trend,Body part
DC1,A,57300M74F00,S4,08-01-2008,354,units,Trend,Body part
DC1,A,57300M74F00,S4,09-01-2008,307,units,Trend,Body part
DC1,A,57300M74F00,S4,10-01-2008,277,units,Trend,Body part
DC1,A,57300M74F00,S4,11-01-2008,328,units,Trend,Body part
DC1,A,57300M74F00,S4,12-01-2008,316,units,Trend,Body part
DC1,A,57300M74F00,S4,01-01-2009,332,units,Trend,Body part
DC1,A,57300M74F00,S4,02-01-2009,275,units,Trend,Body part
DC1,A,57300M74F00,S4,03-01-2009,239,units,Trend,Body part
DC1,A,57300M74F00,S4,04-01-2009,287,units,Trend,Body part
DC1,A,57300M74F00,S4,05-01-2009,296,units,Trend,Body part
DC1,A,57300M74F00,S4,06-01-2009,288,units,Trend,Body part
DC1,A,57300M74F00,S4,07-01-2009,276,units,Trend,Body part
DC1,A,57300M74F00,S4,08-01-2009,259,units,Trend,Body part
DC1,A,57300M74F00,S4,09-01-2009,225,units,Trend,Body part
DC1,A,57300M74F00,S4,10-01-2009,270,units,Trend,Body part
DC1,A,57300M74F00,S4,11-01-2009,225,units,Trend,Body part
DC1,A,57300M74F00,S4,12-01-2009,260,units,Trend,Body part
DC1,A,57300M74F00,S4,01-01-2010,235,units,Trend,Body part
DC1,A,57300M74F00,S4,02-01-2010,213,units,Trend,Body part
DC1,A,57300M74F00,S4,03-01-2010,207,units,Trend,Body part
DC1,A,3834-M944A1,S5,04-01-2006,1,units,Intermittent,Body part
DC1,A,3834-M944A1,S5,05-01-2006,2,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,06-01-2006,0,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,07-01-2006,2,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,08-01-2006,1,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,09-01-2006,2,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,10-01-2006,1,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,11-01-2006,3,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,12-01-2006,3,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,01-01-2007,0,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,02-01-2007,0,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,03-01-2007,0,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,04-01-2007,0,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,05-01-2007,1,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,06-01-2007,0,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,07-01-2007,0,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,08-01-2007,1,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,09-01-2007,2,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,10-01-2007,3,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,11-01-2007,3,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,12-01-2007,2,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,01-01-2008,3,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,02-01-2008,0,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,03-01-2008,2,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,04-01-2008,2,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,05-01-2008,1,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,06-01-2008,1,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,07-01-2008,1,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,08-01-2008,0,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,09-01-2008,3,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,10-01-2008,0,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,11-01-2008,3,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,12-01-2008,1,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,01-01-2009,1,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,02-01-2009,2,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,03-01-2009,2,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,04-01-2009,0,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,05-01-2009,1,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,06-01-2009,0,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,07-01-2009,3,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,08-01-2009,0,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,09-01-2009,1,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,10-01-2009,1,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,11-01-2009,1,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,12-01-2009,0,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,01-01-2010,1,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,02-01-2010,1,units,Seasonal,Body part
DC1,A,3834-M944A1,S5,03-01-2010,3,units,Seasonal,Body part
DC1,A,99000M99503-SIL,S6,04-01-2006,493,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,05-01-2006,434,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,06-01-2006,669,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,07-01-2006,497,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,08-01-2006,503,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,09-01-2006,614,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,10-01-2006,1322,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,11-01-2006,344,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,12-01-2006,368,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,01-01-2007,501,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,02-01-2007,653,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,03-01-2007,844,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,04-01-2007,475,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,05-01-2007,644,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,06-01-2007,699,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,07-01-2007,561,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,08-01-2007,713,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,09-01-2007,640,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,10-01-2007,722,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,11-01-2007,479,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,12-01-2007,665,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,01-01-2008,1063,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,02-01-2008,781,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,03-01-2008,1845,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,04-01-2008,678,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,05-01-2008,1106,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,06-01-2008,1212,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,07-01-2008,761,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,08-01-2008,904,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,09-01-2008,1272,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,10-01-2008,1068,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,11-01-2008,1007,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,12-01-2008,986,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,01-01-2009,1108,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,02-01-2009,1656,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,03-01-2009,1717,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,04-01-2009,1336,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,05-01-2009,1825,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,06-01-2009,1403,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,07-01-2009,1231,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,08-01-2009,1383,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,09-01-2009,1789,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,10-01-2009,1441,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,11-01-2009,1580,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,12-01-2009,2224,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,01-01-2010,2330,units,High growth,Accessories
DC1,A,99000M99503-SIL,S6,02-01-2010,2828,units,High growth,Accessories
